depth 10 :
Time,Node
0.769,558922
1.685,1142704
6.534,4353718
9.59,6520686
14.479,9109708
30.355,20188504
5.463,3339084
7.275,4488842
5.343,3255186
20.463,14091241
13.073,9568487
29.378,23069925
17.627,13089028
10.975,8630922
4.418,2919274
3.671,2409087
1.56,1092456
0.836,564824
0.282,217417
0.204,182205
0.527,565805
0.109,109530
0.298,389792
0.109,158366
0.015,21461
0,1172
0,158
0,5
0,3
