depth 8 :
Time,Node
0.063,42014
0.266,179185
0.267,191517
0.72,461585
0.907,563574
0.92,535429
1.013,598132
0.171,106458
1.779,1135211
0.653,411220
0.298,207649
0.472,314434
0.361,261708
0.188,134921
0.031,36407
0.062,39713
0.047,31159
0.046,44204
0.032,22233
0.047,39599
0,12311
