board,U/D,depth,Node
,D,2,17
,D,4,178
,D,6,2159
,D,8,19925
,D,10,155845
,D,12,1917689
,U,14,8173678
,D,2,20
,D,4,437
,D,6,4517
,D,8,59355
,D,10,756506
,D,12,8403548
,U,14,595150
,D,2,57
,D,4,848
,D,6,12682
,D,8,167263
,D,10,1818484
,U,12,8597930
