depth 8 :
Time,Node
4.502,7007939
31.392,55084045
39.777,72733988
205.848,409309367
234.981,467069529
333.468,703447517
370.568,780580847
73.422,153145109
510.111,1080722236
419.16,924405261
110.742,245029856
230.974,507811576
205.789,447987719
98.031,207146413
3.842,6866706
8.133,13873349
5.017,8619697
2.292,3764908
1.524,2191122
2.819,4314495
0.203,277653
