depth 10 :,,,,
Time,Node,Time(¬í),Node(­Ó),Frequency(­Ó/¬í)
0.26,502359,1.44,3045456.76,2117547
0.61,1252072,,,
0.8,1572890,,,
0.65,1331638,,,
0.71,1482065,,,
0.98,2010199,,,
0.93,1894864,,,
0.36,715539,,,
0.88,1761967,,,
0.82,1665952,,,
1.15,2396817,,,
1.02,2103596,,,
1.46,3080363,,,
1.61,3441739,,,
2.46,5353364,,,
3.43,7480633,,,
2.83,6439276,,,
1.37,2840399,,,
1.34,2779716,,,
0.17,354048,,,
2.38,4987484,,,
0.53,1146947,,,
1.24,2634466,,,
1.22,2638506,,,
1.28,2796930,,,
1.24,2591489,,,
1.22,2566358,,,
0.18,399198,,,
2.25,4764555,,,
0.52,1111622,,,
0.64,1359158,,,
1.25,2674604,,,
1.41,2997670,,,
2.64,5528551,,,
0.35,682096,,,
0.37,774633,,,
1.24,2516467,,,
0.83,1739819,,,
1.75,3691962,,,
1.46,2935791,,,
1.68,3609008,,,
0.95,1984279,,,
1.88,3938146,,,
3.44,7349609,,,
3.93,8439701,,,
2.35,4961898,,,
3.18,6759050,,,
2.43,5220320,,,
1.12,2445050,,,
3.11,6567975,,,
