depth 10 :,,,,,,depth 10 :,
Time,Node,Time(¬í),Node(­Ó),Frequency(­Ó/¬í),,Time,Node
0.42,767093,1.67,3501010.74,2101952,,0.29,528015
0.71,1393740,,,,,0.69,1353681
1.86,3855566,,,,,1.99,4011492
0.77,1596260,,,,,0.75,1579890
0.82,1743457,,,,,0.84,1780853
1.28,2698000,,,,,1.37,2921381
1.45,2983269,,,,,1.49,3144947
0.45,896949,,,,,0.47,940604
0.95,1939674,,,,,1.06,2183674
0.89,1816220,,,,,0.87,1839203
1.3,2757952,,,,,1.27,2757952
1.14,2342881,,,,,1.09,2329323
1.61,3371681,,,,,1.38,2943386
2.04,4306781,,,,,2.28,4923651
2.85,6310260,,,,,3.27,7222845
3.12,6933941,,,,,2.47,5480867
2.96,6600462,,,,,2.97,6600462
1.47,3006342,,,,,1.42,2962740
1.18,2410210,,,,,1.28,2635932
0.16,332901,,,,,0.18,378950
2.15,4462893,,,,,2.21,4576214
0.56,1168349,,,,,0.54,1127859
1.05,2212571,,,,,1.19,2446188
1.12,2328631,,,,,1.32,2680563
1.16,2502027,,,,,1.22,2618506
1.25,2591489,,,,,1.23,2562270
1.24,2566358,,,,,1.14,2365403
0.19,399198,,,,,0.2,428223
2.29,4764555,,,,,2.28,4700051
0.54,1111622,,,,,0.52,1073245
0.66,1359158,,,,,0.75,1547635
1.27,2674604,,,,,1.29,2665880
1.41,2997670,,,,,1.7,3596435
2.91,6116632,,,,,2.98,6132746
0.45,873805,,,,,0.56,1118536
0.75,1549123,,,,,0.79,1622674
1.63,3385790,,,,,1.97,4022384
0.74,1527059,,,,,0.75,1527059
2.34,4862771,,,,,2.12,4394081
1.86,3775228,,,,,1.36,2715676
2.56,5408608,,,,,3.05,6510913
1.91,3949279,,,,,2.25,4754780
2.03,4142314,,,,,2.24,4624677
3.66,7698787,,,,,3.6,7518007
3.41,7212184,,,,,3.4,7212184
2.64,5513367,,,,,2.92,6159987
3.13,6548038,,,,,2.88,6075914
3.59,7554124,,,,,3.73,7892744
2.31,4985601,,,,,2.33,4947612
5.04,10745063,,,,,5.44,11624605
