depth 10 :,,,,
Time,Node,Time(¬í),Node(­Ó),Frequency(­Ó/¬í)
0.36,663731,0.81,1802648.84,2226042
0.36,775138,,,
0.34,749534,,,
0.28,614088,,,
0.65,1423284,,,
0.7,1520250,,,
0.67,1433556,,,
0.31,642024,,,
0.53,1144226,,,
0.74,1597076,,,
0.88,1927984,,,
0.9,1985944,,,
0.67,1485912,,,
1.17,2648347,,,
1.29,3093027,,,
1.75,4086494,,,
1.21,2887077,,,
0.59,1294466,,,
0.47,1048609,,,
0.11,261616,,,
1.17,2634418,,,
0.3,671103,,,
1.01,2244659,,,
0.82,1921169,,,
0.72,1637248,,,
0.46,987023,,,
0.36,828633,,,
0.11,269676,,,
0.97,2129298,,,
0.27,575713,,,
0.5,1128776,,,
0.81,1787917,,,
0.89,1988290,,,
1.15,2521570,,,
0.2,433876,,,
0.21,456943,,,
0.66,1438792,,,
0.48,1085726,,,
0.84,1851982,,,
1.37,2981302,,,
0.92,2039529,,,
0.94,2065222,,,
0.92,2026305,,,
1.96,4354095,,,
1.62,3573897,,,
0.97,2121635,,,
1.84,4092516,,,
1.85,4085060,,,
0.76,1726187,,,
1.43,3191499,,,
