depth 4 :
Time,Node
0,476
0.016,1053
0,1164
0,2775
0.016,1946
0,5175
0,10333
0,6539
0,4654
0,1138
0,6304
0,4702
0,4814
0.016,6032
0,2485
0,2209
0,1970
0.016,1652
0,3497
0.016,2619
0,1603
0.016,2681
0,2029
0.016,2742
0,1910
0,715
0,142
0,118
0,12
0,2
