depth 6 :
Time,Node
0,4227
0.015,15155
0.031,16109
0.062,35135
0.078,39527
0.078,37720
0.172,100596
0.11,62689
0.14,79141
0.063,34095
0.031,16452
0.063,30587
0.046,18698
0.078,60638
0.188,156086
0.109,78825
0.109,67259
0.079,68871
0.032,23751
0.015,12695
0.047,46033
0.062,72948
0.031,35562
0.016,23873
0.016,15141
0,3531
0.016,882
0,105
0,12
0,2
